id,name,address,city,country,zipcode,created_at,updated_at,mainstreet,crossstreet,key,owner,image,hotelID,source
246,West 57th Street by Hilton Club,102 West 57th Street,New York,US,10019,,,,,,,,310373,expedia
247,The MAve nyc,62 Madison Avenue,New York,US,10016,,,,,,,,323397,expedia
248,Four Points by Sheraton Midtown-Times Square,326 W 40th Sreet,New York,US,10018,,,,,,,,324037,expedia
249,Holiday Inn Express New York City- Wall Street,126 Water St,New York,US,10005,,,,,,Hersha Hospitality (HT),,311346,expedia
250,Comfort Inn Manhattan Bridge,61-63 Chrystie Street,New York,US,10002,,,,,,,,311820,expedia
251,Trump Soho New York,246 Spring Street,New York,US,10013,,,,,,,,325735,expedia
252,"Distrikt Hotel New York City, an Ascend Collection Hotel",342 W 40th St,New York,US,10018,,,,,,,,326046,expedia
253,Andaz Wall Street - a Hyatt Hotel,75 Wall St,New York,US,10005,,,,,,,,324226,expedia
254,Comfort Inn Theatre District,343 W 44th St,New York,US,10036,,,,,,,,322838,expedia
255,Flatiron Hotel,9 West 26th Street,New York,US,10010,,,,,,,,332678,expedia
256,World Center Hotel,144 Washington St,New York,US,10006,,,,,,,,332763,expedia
257,Fairfield Inn by Marriott New York Manhattan/Fifth Avenue,21 W 37th St,New York,US,10018,,,,,,,,325235,expedia
258,Courtyard by Marriott New York Manhattan/Times Square South,114 W 40th St,New York,US,10018,,,,,,,,339551,expedia
259,Upper West Side Brownstone,110 West 81st Street,New York,US,10024,,,,,,,,326792,expedia
260,Club Quarters World Trade Center,140 Washington St,New York,US,10006,,,,,,,,332637,expedia
261,UPPER YORKVILLE SUITES,1876 Third Avenue,New York,US,10029,,,,,,,,332968,expedia
262,CHELSEA PINES INN,317 West 14th Street,New York,US,10014,,,,,,,,341928,expedia
263,JET LUXURY AT TRUMP SOHO,246A Spring Street,New York,US,10013,,,,,,,,341945,expedia
